country,samples,mae,rmse,mape,mean_target,mean_prediction
Algeria,2,105.39365000000004,124.56986530949212,13.513707586676265,772.3325,666.93885
Bulgaria,2,28.464055000000002,29.030165965802713,14.59992052912569,194.460995,222.92505
Central America (EI),2,60.313439999999986,76.556081042812,13.827152829705325,431.0855,370.77206
Croatia,2,10.810085,10.832519324480803,10.375513302063185,104.134,93.323915
Czechia,2,73.27345,73.43318389705978,18.207724614333713,402.0325,475.30595
Germany,2,429.4048,429.4115024352282,13.472840828956246,3187.1634999999997,3616.5683
Greece,2,107.26372500000002,107.81606636399908,34.315481950090266,313.54200000000003,420.80572500000005
Hong Kong,2,109.09617500000002,109.89955721898453,41.90624310850571,262.091495,371.18767
Iceland,2,5.994606000000001,8.28932695254639,9.538780167153279,63.442499999999995,57.717324
India,2,1641.0605000000005,1663.4219166274386,14.759914276933065,11081.9585,9440.898000000001
Indonesia,2,619.6498000000001,622.9517368313537,21.42766283482071,2884.933,2265.2832
Iraq,2,120.49007499999993,124.15495118031431,16.623112108946074,727.305,606.814925
Italy,2,318.3449999999999,403.4793907835813,18.92241754624584,1688.4705,2006.8155
Japan,2,479.52405,505.4555207458961,9.913455088493524,4826.673,5306.19705
Lower-middle-income countries,2,1723.7194999999992,1743.850637569771,10.295129734455843,16691.106,14967.3865
Middle East (EI),2,1476.3152499999997,1516.687736140213,12.840038582991273,11468.900249999999,9992.585
North Macedonia,2,3.3899670000000004,3.902533632252003,11.241089819226174,31.0445,34.434467
Other Asia Pacific (EI),2,128.05864999999994,128.80864907235457,11.95856937728417,1069.5745,941.51585
Other Northern Africa (EI),2,71.832445,72.06771148540136,17.13171024176251,418.81749,346.985045
Peru,2,39.56314999999998,54.0347384873046,10.600656084349081,358.8465,322.04283
Philippines,2,91.38676499999997,91.82133630917404,14.458801730774635,630.6669999999999,539.280235
Qatar,2,85.988585,98.8235865979689,13.30634286561706,636.858,550.869415
Russia,2,859.0306999999998,874.3815443181423,9.619455015003076,8905.0265,8045.995800000001
Sri Lanka,2,17.050351999999997,17.190117788614707,16.064787635499012,105.709498,122.75985
Ukraine,2,284.43812,288.9924220424315,47.749761612729195,594.592,879.03012
United Arab Emirates,2,285.24075000000005,297.82398231872634,19.14676107025238,1477.6565,1192.4157500000001
Uzbekistan,2,81.52819999999997,92.02796797604516,12.163469493916745,647.9945,566.4663
Vietnam,2,201.04174999999998,224.92613333911422,13.865757629162626,1426.094,1225.05225
