country,samples,mae,rmse,mape,mean_target,mean_prediction
Africa,2,372.18150000000014,372.1963119947592,6.107108610184718,6094.96,5722.7785
Africa (EI),2,372.18150000000014,372.1963119947592,6.107108610184718,6094.96,5722.7785
Algeria,2,105.39365000000004,124.56986530949212,13.513707586676265,772.3325,666.93885
Argentina,2,51.50454499999995,52.74147467850178,5.1716178648728865,993.683,982.327605
Asia,2,6920.830000000002,6922.840708444765,7.1990245844377405,96206.85500000001,89286.025
Asia Pacific (EI),2,6813.715000000004,6814.399799487116,8.288463823749003,82255.45000000001,75441.735
Australia,2,58.98419999999999,59.41858039536117,3.541298776597948,1664.7455,1723.7296999999999
Austria,2,12.706050000000005,12.985679632248747,3.1381816856673503,403.1485,400.46817
Azerbaijan,2,10.255054999999984,11.063767867008492,4.778994261141613,212.792505,202.53745
Bangladesh,2,12.11902999999998,12.21831169866768,2.334784189976892,517.866,519.42043
Belarus,2,10.023775,10.914896527894799,3.2261078014328954,308.5945,304.274905
Belgium,2,49.10843500000004,50.287270711268995,7.578091455904927,647.3369849999999,696.44542
Brazil,2,203.52965000000017,205.398906958253,5.231363319207881,3886.4,3682.87035
Bulgaria,2,28.464055000000002,29.030165965802713,14.59992052912569,194.460995,222.92505
CIS (EI),2,820.5609999999997,826.8182947673567,7.080772590368367,11570.021,10749.46
Canada,2,114.50959999999986,116.82870052311623,2.9458151368849923,3887.0275,4001.5371
Central America (EI),2,60.313439999999986,76.556081042812,13.827152829705325,431.0855,370.77206
Chile,2,42.32845499999999,42.339885871518945,8.338208157934421,508.113,465.784545
China,2,4320.2935,4320.615686806048,8.996458567385467,48029.555,43709.2615
Colombia,2,30.56910000000005,32.27638904110096,4.9665506492009275,615.598,585.0289
Croatia,2,10.810085,10.832519324480803,10.375513302063185,104.134,93.323915
Cyprus,2,1.4272814999999994,1.8492730918510933,4.429810848663298,32.7315,33.907373500000006
Czechia,2,73.27345,73.43318389705978,18.207724614333713,402.0325,475.30595
Denmark,2,2.7606949999999983,3.4416172124816446,1.4133333166653577,195.7255,198.486195
Eastern Africa (EI),2,38.030800000000056,38.04629978657589,4.955947229972786,767.261,729.2302
