country,samples,mae,rmse,mape,mean_target,mean_prediction
Austria,2,12.706050000000005,12.985679632248747,3.1381816856673503,403.1485,400.46817
Bangladesh,2,12.11902999999998,12.21831169866768,2.334784189976892,517.866,519.42043
Belarus,2,10.023775,10.914896527894799,3.2261078014328954,308.5945,304.274905
Canada,2,114.50959999999986,116.82870052311623,2.9458151368849923,3887.0275,4001.5371
Denmark,2,2.7606949999999983,3.4416172124816446,1.4133333166653577,195.7255,198.486195
Europe,2,458.03999999999905,538.395084390636,1.5878259816027338,29013.3805,29296.3445
Europe (EI),2,734.0155000000013,759.1201438049852,3.370568019668775,21827.036500000002,22561.052000000003
Finland,2,5.450365000000005,7.684060670534167,1.6311454758478856,334.368,328.917635
High-income countries,2,1190.0849999999991,1269.5925558422264,1.5316813819566284,77921.83,79111.91500000001
Hungary,2,4.673234999999991,5.36627706705962,1.8220141576295505,258.053,260.690765
Ireland,2,5.560950000000005,6.410118024763664,3.0637978730259956,181.1235,184.31183
Luxembourg,2,0.8690235000000008,0.869762092922255,2.2434990248193483,38.719999,38.6841625
Morocco,2,8.774194999999963,10.312012022406169,3.1866947590249577,273.7475,268.329835
New Zealand,2,7.802460000000011,8.120313241969189,3.287469297366061,236.429,234.17931
North America,2,293.53399999999965,365.1940907407978,0.8769710632151236,33603.751000000004,33897.285
North America (EI),2,276.81100000000333,346.40459119648204,0.8533378190995061,32561.773999999998,32838.58500000001
OECD (EI),2,2086.2850000000035,2488.9370567473225,3.2553885861671095,64325.444,66411.729
Other Caribbean (EI),2,12.996350000000007,16.517093885142167,2.9493258830581293,449.02900999999997,462.02536
Other Europe (EI),2,9.088424999999972,11.27300753176584,1.6792188456747255,535.861,529.1915750000001
Portugal,2,5.6921999999999855,7.975994735761801,2.10664674514915,268.106,273.7982
Singapore,2,29.086365,29.234629319224318,2.855757662948941,1022.6255000000001,1051.711865
Slovenia,2,1.4994325000000046,1.5066105099236875,1.9703218626735266,76.459,76.60589250000001
South America,2,224.47750000000042,225.66356481428315,2.929698075565612,7667.8195,7443.342
South Korea,2,24.36389999999983,25.5452641632455,0.6775213834970117,3587.058,3611.4219
South and Central America (EI),2,155.22999999999956,155.2301703922271,1.782330418715055,8709.798999999999,8554.569
Thailand,2,22.389999999999986,29.50549851197227,1.6102728644871416,1404.5014999999999,1426.8915
Trinidad and Tobago,2,2.285685000000001,2.6588808231002052,1.4229936275984938,161.865,163.223415
United States,2,469.15149999999994,568.315695898416,1.7861950914139186,26372.578,26841.7295
